#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
         0;          0.0;     15;     33.88;          ;     300.00;    0.044177;     -926.068225;     -926.024048;                ;          
         1;          0.5;      8;     18.45;      9.34;     283.11;    0.041689;     -926.063797;     -926.022108;     -926.022121;      0.00
         2;          1.0;      8;     18.45;      9.28;     263.98;    0.038873;     -926.060839;     -926.021966;     -926.022005;      0.39
         3;          1.5;      8;     18.27;      9.19;     266.52;    0.039247;     -926.061132;     -926.021886;     -926.021950;      0.58
         4;          2.0;      8;     18.16;      9.37;     295.92;    0.043576;     -926.065505;     -926.021930;     -926.021997;      0.42
         5;          2.5;      8;     18.11;      9.22;     347.55;    0.051179;     -926.073259;     -926.022080;     -926.022112;      0.03
         6;          3.0;      8;     18.31;      9.25;     410.65;    0.060470;     -926.082717;     -926.022247;     -926.022196;     -0.26
         7;          3.5;      8;     18.34;      9.27;     477.20;    0.070270;     -926.092647;     -926.022377;     -926.022196;     -0.26
         8;          4.0;      8;     18.23;      9.20;     546.20;    0.080431;     -926.102978;     -926.022546;     -926.022183;     -0.21
         9;          4.5;      8;     18.26;      9.26;     617.94;    0.090996;     -926.113824;     -926.022828;     -926.022229;     -0.37
        10;          5.0;      8;     18.23;      9.17;     688.53;    0.101390;     -926.124552;     -926.023162;     -926.022275;     -0.53
        11;          5.5;      8;     18.31;      9.14;     754.47;    0.111100;     -926.134563;     -926.023462;     -926.022240;     -0.40
        12;          6.0;      7;     16.60;      9.15;     819.29;    0.120646;     -926.144399;     -926.023753;     -926.022146;     -0.09
        13;          6.5;      9;     19.70;      9.11;     891.81;    0.131325;     -926.155446;     -926.024121;     -926.022076;      0.15
        14;          7.0;     10;     21.16;      9.11;     978.63;    0.144110;     -926.168743;     -926.024633;     -926.022086;      0.12
        15;          7.5;      9;     19.78;      9.02;    1078.76;    0.158854;     -926.184147;     -926.025292;     -926.022169;     -0.17
        16;          8.0;      9;     19.84;      9.08;    1183.92;    0.174340;     -926.200397;     -926.026057;     -926.022279;     -0.54
        17;          8.5;      9;     19.74;      9.01;    1283.01;    0.188932;     -926.215798;     -926.026866;     -926.022361;     -0.82
        18;          9.0;      9;     19.78;      9.01;    1367.61;    0.201389;     -926.229059;     -926.027670;     -926.022375;     -0.86
        19;          9.5;      9;     19.75;      8.97;    1436.03;    0.211465;     -926.239913;     -926.028448;     -926.022313;     -0.65
        20;         10.0;      9;     19.68;      9.02;    1494.02;    0.220005;     -926.249229;     -926.029225;     -926.022206;     -0.29
        21;         10.5;      9;     19.75;      9.02;    1551.37;    0.228449;     -926.258510;     -926.030061;     -926.022116;      0.02
        22;         11.0;      9;     19.52;      8.95;    1615.88;    0.237949;     -926.268964;     -926.031015;     -926.022096;      0.08
        23;         11.5;      7;     16.21;      8.91;    1688.60;    0.248657;     -926.280756;     -926.032099;     -926.022153;     -0.11
        24;         12.0;      9;     19.33;      8.94;    1763.18;    0.259640;     -926.292922;     -926.033282;     -926.022253;     -0.45
        25;         12.5;      9;     19.34;      8.82;    1829.50;    0.269406;     -926.303912;     -926.034506;     -926.022346;     -0.76
        26;         13.0;      9;     19.33;      8.83;    1878.79;    0.276665;     -926.312385;     -926.035720;     -926.022391;     -0.92
        27;         13.5;      9;     19.45;      8.89;    1907.89;    0.280949;     -926.317835;     -926.036886;     -926.022367;     -0.84
        28;         14.0;      9;     19.28;      8.79;    1920.85;    0.282858;     -926.320865;     -926.038007;     -926.022289;     -0.57
        29;         14.5;      9;     19.34;      8.88;    1927.15;    0.283786;     -926.322907;     -926.039121;     -926.022199;     -0.27
        30;         15.0;      9;     19.18;      8.82;    1937.33;    0.285285;     -926.325559;     -926.040274;     -926.022140;     -0.07
        31;         15.5;      9;     18.95;      8.62;    1958.31;    0.288374;     -926.329878;     -926.041504;     -926.022143;     -0.08
        32;         16.0;      9;     18.81;      8.64;    1990.59;    0.293127;     -926.335941;     -926.042813;     -926.022201;     -0.27
        33;         16.5;      9;     18.88;      8.60;    2028.56;    0.298719;     -926.342900;     -926.044181;     -926.022290;     -0.57
        34;         17.0;      9;     18.86;      8.59;    2063.35;    0.303842;     -926.349405;     -926.045564;     -926.022368;     -0.84
        35;         17.5;      9;     18.78;      8.55;    2086.88;    0.307307;     -926.354226;     -926.046919;     -926.022401;     -0.95
        36;         18.0;      9;     18.79;      8.56;    2095.49;    0.308574;     -926.356792;     -926.048218;     -926.022371;     -0.85
        37;         18.5;      9;     18.72;      8.46;    2091.69;    0.308015;     -926.357476;     -926.049461;     -926.022288;     -0.57
        38;         19.0;      7;     15.57;      8.47;    2082.92;    0.306724;     -926.357414;     -926.050690;     -926.022198;     -0.26
        39;         19.5;      9;     18.47;      8.45;    2077.06;    0.305860;     -926.357823;     -926.051963;     -926.022156;     -0.12
        40;         20.0;      9;     18.47;      8.46;    2077.25;    0.305889;     -926.359196;     -926.053307;     -926.022185;     -0.22
        41;         20.5;      7;     15.54;      8.48;    2080.22;    0.306326;     -926.361018;     -926.054691;     -926.022252;     -0.45
        42;         21.0;      9;     18.53;      8.42;    2079.20;    0.306176;     -926.362239;     -926.056063;     -926.022307;     -0.63
        43;         21.5;      9;     18.60;      8.42;    2068.84;    0.304650;     -926.362035;     -926.057385;     -926.022320;     -0.68
        44;         22.0;      8;     17.05;      8.37;    2048.44;    0.301646;     -926.360294;     -926.058648;     -926.022290;     -0.57
        45;         22.5;      9;     18.48;      8.39;    2022.14;    0.297773;     -926.357640;     -926.059867;     -926.022234;     -0.39
        46;         23.0;      9;     18.37;      8.28;    1997.08;    0.294083;     -926.355147;     -926.061064;     -926.022175;     -0.19
        47;         23.5;      9;     18.28;      8.26;    1980.70;    0.291671;     -926.353941;     -926.062270;     -926.022138;     -0.06
        48;         24.0;      9;     18.14;      8.28;    1977.87;    0.291255;     -926.354771;     -926.063516;     -926.022142;     -0.07
        49;         24.5;      8;     16.80;      8.34;    1988.87;    0.292874;     -926.357688;     -926.064815;     -926.022191;     -0.24
        50;         25.0;      9;     18.20;      8.27;    2009.03;    0.295843;     -926.362000;     -926.066156;     -926.022268;     -0.50
        51;         25.5;      9;     18.29;      8.25;    2030.53;    0.299009;     -926.366523;     -926.067513;     -926.022344;     -0.76
        52;         26.0;      9;     18.27;      8.17;    2045.36;    0.301193;     -926.370045;     -926.068852;     -926.022391;     -0.92
        53;         26.5;      9;     18.14;      8.20;    2048.44;    0.301647;     -926.371788;     -926.070142;     -926.022387;     -0.91
        54;         27.0;      9;     18.11;      8.28;    2039.78;    0.300371;     -926.371742;     -926.071372;     -926.022330;     -0.71
        55;         27.5;      7;     15.26;      8.22;    2024.50;    0.298121;     -926.370684;     -926.072563;     -926.022245;     -0.42
        56;         28.0;      9;     18.12;      8.18;    2010.11;    0.296003;     -926.369768;     -926.073766;     -926.022182;     -0.21
        57;         28.5;     10;     19.35;      8.19;    2001.86;    0.294787;     -926.369811;     -926.075024;     -926.022181;     -0.21
        58;         29.0;      8;     16.56;      8.22;    1999.08;    0.294377;     -926.370717;     -926.076340;     -926.022240;     -0.40
        59;         29.5;     10;     19.65;      8.35;    1995.62;    0.293868;     -926.371533;     -926.077665;     -926.022311;     -0.65
        60;         30.0;      7;     15.42;      8.29;    1984.33;    0.292206;     -926.371147;     -926.078941;     -926.022340;     -0.74
        61;         30.5;      9;     18.21;      8.18;    1962.13;    0.288936;     -926.369079;     -926.080143;     -926.022311;     -0.65
        62;         31.0;      9;     18.01;      8.19;    1931.74;    0.284461;     -926.365752;     -926.081291;     -926.022252;     -0.45
        63;         31.5;      9;     18.06;      8.24;    1899.31;    0.279686;     -926.362111;     -926.082425;     -926.022204;     -0.28
        64;         32.0;      9;     18.05;      8.15;    1870.53;    0.275448;     -926.359018;     -926.083570;     -926.022186;     -0.22
        65;         32.5;      7;     14.99;      8.09;    1848.39;    0.272187;     -926.356911;     -926.084724;     -926.022194;     -0.25
        66;         33.0;      7;     14.95;      8.17;    1832.94;    0.269912;     -926.355799;     -926.085887;     -926.022222;     -0.35
